t_start,t_end,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),country,state,city
2020-02-27,2020-03-04,2.4941391375112154,1.2470695687556077,0.679568970744925,0.8519470469088324,4.834674551284083,2.289657607256941,4.834674551284083,4.834674551284083,5.4666997231231065,Brazil,,
2020-02-28,2020-03-05,2.1872455782654128,1.0936227891327064,0.5959508048421901,0.7471184679484387,4.239787739027402,2.0079246590115263,4.239787739027402,4.239787739027402,4.794044813809832,Brazil,,
2020-02-29,2020-03-06,6.211770733586768,1.7228352224133576,3.3075063002227263,3.674299798890519,9.290214088407524,6.05324111641893,9.290214088407524,9.290214088407524,10.016043117835045,Brazil,,
2020-03-01,2020-03-07,4.73429423555468,1.366673025660194,2.446278916195619,2.7317716157351297,7.183310813486073,4.603455367818205,7.183310813486073,7.183310813486073,7.765046789790889,Brazil,,
2020-03-02,2020-03-08,4.944942243043676,1.1344475536354068,2.9771782558969044,3.2381439462372636,6.946803292362079,4.858464667460562,6.946803292362079,6.946803292362079,7.403817445625189,Brazil,,
2020-03-03,2020-03-09,4.142816616792399,0.8456489007553908,2.6543807769588934,2.85665135747411,5.624803007142634,4.085421737657479,5.624803007142634,5.624803007142634,5.957248236320991,Brazil,,
2020-03-04,2020-03-10,3.5667209919010614,0.6511911811971374,2.4064516755542282,2.56732330025327,4.701053858086075,3.527169995927189,4.701053858086075,4.701053858086075,4.951659426016054,Brazil,,
2020-03-05,2020-03-11,2.967167226575282,0.5015428012062224,2.066740690530482,2.193129859336409,3.837446929886806,2.9389568368504158,3.837446929886806,3.837446929886806,4.027852541351425,Brazil,,
2020-03-06,2020-03-12,3.0876913650529896,0.4410987664361414,2.284291069848456,2.3996967936469016,3.8472550791930766,3.066712254002505,3.8472550791930766,3.8472550791930766,4.010283222093454,Brazil,,
2020-03-07,2020-03-13,6.755931818049964,0.5730306577742659,5.6795316418456325,5.841809952675293,7.725296081276133,6.739737467878179,7.725296081276133,7.725296081276133,7.9243547604248326,Brazil,,
2020-03-08,2020-03-14,4.984619227013148,0.4227898847022486,4.1904364023828755,4.3101675675387465,5.699829485877377,4.972670813173387,5.699829485877377,5.699829485877377,5.846697711624932,Brazil,,
2020-03-09,2020-03-15,3.2071584709140564,0.26819606461284384,2.7030576416106564,2.779128647990572,3.6606795478490146,3.1996856829701557,3.6606795478490146,3.6606795478490146,3.753722774777852,Brazil,,
2020-03-10,2020-03-16,2.61457428144847,0.19708095177449209,2.242559757947296,2.299067579363851,2.9469669567255807,2.609624106966649,2.9469669567255807,2.9469669567255807,3.0147182140667725,Brazil,,
2020-03-11,2020-03-17,3.241971065184837,0.19004770957786574,2.880146052812705,2.9358310393781673,3.5607761395777953,3.2382582243584146,3.5607761395777953,3.5607761395777953,3.624894928479291,Brazil,,
2020-03-12,2020-03-18,2.95656388399506,0.16153434088147262,2.6484026253396915,2.69597478119681,3.2271862869201904,2.9536225503457954,3.2271862869201904,3.2271862869201904,3.281439868118617,Brazil,,
2020-03-13,2020-03-19,3.878452396780533,0.16245049445148202,3.566548172061626,3.615169003724154,4.1494717444237175,3.876184531914709,4.1494717444237175,4.1494717444237175,4.203244424762607,Brazil,,
2020-03-14,2020-03-20,3.3197306947078524,0.13091739875237896,3.0680617976045457,3.10736560648801,3.5379656310826717,3.3180098939962743,3.5379656310826717,3.5379656310826717,3.581178568180408,Brazil,,
2020-03-15,2020-03-21,3.2904888323633834,0.11149396072830225,3.0755645781785885,3.109270318527994,3.476002580139517,3.289229641828678,3.476002580139517,3.476002580139517,3.5125688587597526,Brazil,,
2020-03-16,2020-03-22,3.877763009778087,0.10419727873274415,3.6762047599190364,3.7079801801151007,4.050729201678681,3.876829773424235,4.050729201678681,4.050729201678681,4.084624716561105,Brazil,,
2020-03-17,2020-03-23,3.6093886955629797,0.08690386744669619,3.4410506469948565,3.4676439607211247,3.753512474370673,3.608691253113648,3.753512474370673,3.753512474370673,3.7816902230811515,Brazil,,
2020-03-18,2020-03-24,2.9305427692328907,0.0667585978762379,2.8011446358812746,2.821606005890907,3.0412086547907076,2.930035858208523,3.0412086547907076,3.0412086547907076,3.0628216172878675,Brazil,,
2020-03-19,2020-03-25,2.4374102434139067,0.0521677089353682,2.336225022576581,2.3522414413484403,2.523848554137714,2.4370380729959926,2.523848554137714,2.523848554137714,2.5407104658363466,Brazil,,
2020-03-20,2020-03-26,2.0383175091217782,0.041913725282010164,1.956987460312755,1.9698690165599892,2.107745948009735,2.038030227031914,2.107745948009735,2.107745948009735,2.12128014966035,Brazil,,
2020-03-21,2020-03-27,1.837238497898089,0.03585922368245197,1.7676209544427317,1.778655899429866,1.896616886979809,1.8370052030388444,1.896616886979809,1.896616886979809,1.9081818304397624,Brazil,,
2020-03-22,2020-03-28,1.708519639534399,0.03181429819408393,1.6467277496176926,1.6565287293847886,1.761184128012452,1.7083221725291835,1.761184128012452,1.761184128012452,1.7714337132596696,Brazil,,
2020-03-23,2020-03-29,1.39828971983499,0.02685544826768877,1.3461442249159137,1.354411606705904,1.4427542823203225,1.3981177956802184,1.4427542823203225,1.4427542823203225,1.4514122410101777,Brazil,,
2020-03-24,2020-03-30,1.2183283830590617,0.02364015537485593,1.1724305152391201,1.179706310967811,1.257472008787684,1.2181754838124967,1.257472008787684,1.257472008787684,1.2650951605688865,Brazil,,
2020-03-25,2020-03-31,1.4626227099083917,0.024825900218857787,1.4143651759721205,1.422028700255171,1.5036958375343783,1.4624822510841915,1.5036958375343783,1.5036958375343783,1.5116784568675048,Brazil,,
2020-03-26,2020-04-01,1.7044590580156118,0.026044290839376844,1.6537911534483862,1.6618474475912102,1.7475231538142693,1.7043264067997006,1.7475231538142693,1.7475231538142693,1.7558808062929472,Brazil,,
2020-03-27,2020-04-02,1.8765525497990028,0.026380648795302483,1.8251995810962507,1.8333721040497437,1.9201546698190186,1.8764289311842917,1.9201546698190186,1.9201546698190186,1.9286080311530762,Brazil,,
2020-03-28,2020-04-03,1.8768337628512544,0.02499115082170753,1.8281679511606095,1.8359170310669926,1.9181288623481714,1.8767228400355478,1.9181288623481714,1.9181288623481714,1.9261299383552868,Brazil,,
2020-03-29,2020-04-04,1.8736538163792886,0.02331706905028951,1.8282286579136466,1.835466326100406,1.9121712401919044,1.8735570925849616,1.9121712401919044,1.9121712401919044,1.9196286471259723,Brazil,,
2020-03-30,2020-04-05,1.7275055711162202,0.020834501100513162,1.6869092124147902,1.6933793125567385,1.7619175327201198,1.7274218139923394,1.7619175327201198,1.7619175327201198,1.7685779137793796,Brazil,,
2020-03-31,2020-04-06,1.656718124904984,0.019025150262950617,1.6196368770658616,1.6255492367567077,1.688135427014723,1.6566452994982652,1.688135427014723,1.688135427014723,1.6942132328427977,Brazil,,
2020-04-01,2020-04-07,1.601475194222816,0.017559443909614114,1.5672420345696156,1.5727023495417716,1.6304669511246503,1.6014110175864267,1.6304669511246503,1.6304669511246503,1.6360730638608827,Brazil,,
2020-04-02,2020-04-08,1.6046474293233146,0.016608196079492852,1.572259079467765,1.5774274515495923,1.6320628564858408,1.6045901310821966,1.6320628564858408,1.6320628564858408,1.6373613999232115,Brazil,,
2020-04-03,2020-04-09,1.5546767116802442,0.015508816947428852,1.5244267870057713,1.5292552348673145,1.5802740968370452,1.5546251421196455,1.5802740968370452,1.5802740968370452,1.585219701551762,Brazil,,
2020-04-04,2020-04-10,1.477720610013949,0.014364414626602871,1.4496993596151029,1.454172898988301,1.501427085336831,1.4776740664272137,1.501427085336831,1.501427085336831,1.5060063634670238,Brazil,,
2020-04-05,2020-04-11,1.3128631041834538,0.012893533385246403,1.2877123907498302,1.2917273616395575,1.3341428239261568,1.312820895605775,1.3341428239261568,1.3341428239261568,1.3382536851953464,Brazil,,
